Handle,Friends
2697,2989
3804,38125
2850,709
3147,4872
3119,812
1295,12
3085,627
2674,428
2724,835
1177,19
2899,1064
2641,4205
2742,611
2935,487
1842,5
584,2
2975,4228
2307,1189
2990,387
2166,25
2710,216
3115,380
2829,369
2415,284
2937,350
2623,166
2638,1166
2335,977
2631,158
2310,450
2148,10
2452,89
2440,372
2552,109
2455,260
3007,1575
2654,277
2731,707
2147,10
1821,133
2611,464
2129,76
2422,153
1378,5
2473,827
2434,1453
2281,34
3018,611
2163,150
2541,101
2102,49
2086,50
2453,134
2305,388
2737,162
2289,27
2263,12
2218,71
2402,160
2234,107
2837,253
2353,95
2381,83
2409,85
2202,40
2218,62
1969,580
2193,1928
2332,16
2205,334
2516,308
3000,442
2467,45
2485,361
2040,37
2122,92
,0
1805,15
2456,78
2325,276
1476,4
2253,146
2163,79
2112,203
2500,206
2362,84
1959,202
1933,15
2133,72
2163,318
2410,164
2664,49
2436,142
2171,156
2511,123
2791,266
2187,285
2234,145
2285,204
2468,259
2804,129
1984,779
1840,220
2142,36
2150,136
2352,42
1971,9
2456,10526
2158,3507
2432,402
2163,431
2143,90
2414,92
2560,8361
2123,801
2143,15
2243,45
1835,27
2588,181
2339,225
2146,55
2435,45
2457,57
1920,8
1895,59
2119,54
2068,467
2348,45
,2
2354,1890
2124,35
2185,31
2177,192
1918,11
2804,144
1209,4
2806,521
2295,30
2197,1002
2109,460
1642,2
2120,22
2046,1
2322,1
2073,7
1328,6
2227,7
2171,94
2235,691
2679,2610
2061,521
2427,197
1963,190
2132,85
1600,2
2126,15
2119,304
2160,163
2274,642
2527,84
2208,171
2293,872
2305,74
2197,11
2034,57
1720,35
2125,46
1868,51
2272,103
2024,91
2262,61
,0
2682,74
1918,213
2076,50
2203,164
1937,71
2045,108
2242,75
1961,13
2049,106
2038,73
2317,162
2142,39
1774,4
2121,178
2141,46
2113,13
1626,156
1931,164
2168,44
2100,79
2441,122
2108,112
1929,32
2153,12
2049,126
2303,117
1885,159
2116,35
2330,22
2062,214
2192,584
2098,755
1747,67
1653,163
1981,78
2367,366
2255,128
1704,190
1489,8
2133,140
1117,0
2176,254
1759,154
2439,60
2233,132
2078,20
2106,113
353,4
2166,58
1911,199
2156,4
2181,19
1839,238
2304,129
2489,152
2187,15
2306,60
2007,37
2002,18
2171,407
1947,58
2042,413
2234,293
1246,10
1925,12
1668,261
2409,65
2251,10
2234,90
,0
2416,186
2197,58
2118,202
1952,99
1925,30
2108,200
2143,300
2168,67
2252,376
1945,8
1176,10
2165,108
2141,80
2221,587
1822,140
1939,222
1750,24
2138,39
2199,8
2024,268
2100,388
2214,54
2163,61
2141,86
747,5
1812,382
1620,5
2333,472
2237,109
2266,111
2260,47
1951,66
1965,109
2165,48
2236,13
2269,22
1974,65
2194,1
1988,38
2309,28
1922,49
2198,84
1955,23
2248,6
1694,214
2143,304
1752,2
2141,532
2134,22
2376,2163
1570,9
2153,456
1699,19
2219,28
1671,584
2144,29
2112,4
1918,0
2447,2600
2003,14
2401,93
2118,198
2520,2298
2421,187
2215,258
1894,291
2137,43
1914,291
1988,347
2086,83
2240,259
1753,63
1551,80
2196,39
2123,207
2011,63
1790,17
2334,367
2207,17
1996,17
1743,1
2310,85
1438,29
1654,1
1978,260
2275,512
1913,14
1960,58
1788,2
1852,40
1921,68
2226,325
2188,99
2243,199
2325,107
1998,34
2335,165
2005,457
1672,1
1745,13
2141,208
1987,16
2035,34
2186,41
1785,11
2085,100
1855,1054
2245,143
2314,86
2037,38
1971,107
1966,23
1335,24
1959,3
2465,26
1644,6
1992,76
2039,62
2025,58
1680,9
1363,5
2196,87
2125,284
2106,129
2029,349
1839,190
1945,4
2146,20
1884,21
1910,29
2278,49
1662,250
2036,198
1803,3
2224,186
1687,5
2230,2
2172,31
2234,40
2465,102
2015,307
2536,102
1635,158
2232,27
2196,39
1718,2
2099,328
2071,7
1788,39
1953,359
1478,4
2149,273
1946,14
2033,158
1917,116
2160,165
1963,120
1609,8
2207,13
1812,77
2262,43
2121,69
1911,3
1925,121
2368,59
2214,67
2136,59
1763,525
1634,132
1872,47
2200,193
2167,76
1878,12
2135,90
2240,3
1965,694
1824,2
1774,18
2118,126
1944,21
1773,95
1986,237
1937,0
2007,28
2120,129
2299,35
1658,64
1981,46
2108,52
2176,63
1626,13
2145,324
1836,478
2174,128
1970,10
1848,24
2110,86
1990,16
1965,49
1646,11
1745,68
1983,1
1928,363
2001,111
1263,26
1997,6
1884,72
1764,5
2160,53
1868,8
2100,249
1694,3
1928,10
1957,5
2152,47
2407,842
1008,0
1865,7
2243,65
1576,8
2038,48
1974,0
2023,50
1791,7
1781,8
1860,15
1638,9
2101,33
2003,118
1565,46
2120,80
2112,37
2210,935
1789,10
1653,20
1746,27
1679,3
1226,1
2105,36
2304,18
1897,23
2106,45
1371,2
2125,285
2125,46
1645,54
1667,72
1512,58
1970,119
1948,203
2104,19
1878,319
1680,22
2432,142
2235,146
2014,897
2008,9
1495,12
2128,26
2024,1200
1863,67
1850,5
1987,4
2124,218
1735,5
1921,25
1836,34
1547,6
2198,58
2226,21
1804,157
2061,12
1781,50
1767,66
1718,1
2101,29
2374,149
2017,27
1983,9
1946,58
2039,97
2240,473
2579,5820
1978,12
2195,7
2148,22
2334,439
2215,76
1937,1183
1939,213
2119,9
1807,21
2491,1941
2147,119
2451,28
836,1
2430,564
2184,577
2498,118
,2
2406,424
2996,324
2001,47
2914,188
369,1
2480,325
2401,72
2495,263
2202,5
1843,317
1711,54
2219,440
1206,7
2128,757
2194,152
2326,153
1399,8
1813,154
2107,174
1503,3
2177,22
2317,1256
1854,80
1633,66
2076,79
1636,1
1624,25
1652,62
1843,125
2104,20
1919,18
2158,131
1787,2
,0
1802,58
1916,125
1725,58
2215,295
1954,81
1936,38
1969,41
1828,105
1739,26
2101,306
2127,74
1926,58
1852,212
1943,123
2122,145
2005,3
1677,39
1783,329
1939,135
1940,86
1913,99
1909,168
1605,9
1925,19
1732,117
1997,17
2173,849
2053,9
2150,40
1769,12
2192,307
1990,102
1648,91
2156,74
599,25
2130,131
1904,271
1905,38
2110,60
1923,10
1696,1
1722,180
2377,109
1932,4
1731,38
1639,48
1864,53
2110,969
2197,85
2101,63
2064,41
1604,47
1663,269
1700,92
2132,40
1498,412
1940,76
2024,24
1627,4
2052,69
1716,542
1652,151
1769,70
1617,10
1731,77
1790,89
1928,274
1970,133
1904,5
1358,244
2309,80
2234,971
2171,71
1849,100
1951,22
1799,95
1826,78
1853,28
,1
1762,60
1664,118
1900,5
2179,472
2007,15
1535,48
1766,7
,3
2170,57
1960,10
1762,26
1709,60
1832,80
2050,74
1825,304
1731,6
2014,196
,0
1635,0
1895,345
1950,42
1972,28
1799,16
1639,1
1507,9
1906,129
1862,152
1798,92
557,1
1704,12
2049,162
1272,0
1530,12
1764,25
2037,34
2125,328
1735,15
1836,38
1377,19
2322,254
2020,73
1663,12
2090,80
1858,19
1611,28
1715,24
