Handle,geometry,divide and conquer,interactive,bitmasks,string suffix structures,dp,hashing,brute force,binary search,number theory,graphs,dfs and similar,combinatorics,expression parsing,fft,schedules,trees,implementation,2-sat,chinese remainder theorem,matrices,strings,meet-in-the-middle,shortest paths,ternary search,*special,sortings,probabilities,data structures,graph matchings,games,flows,greedy,constructive algorithms,dsu,math,two pointers
Geothermal,113100,142800,150000,283300,51000,969600,119700,672900,485700,330900,509900,448200,309000,5000,56300,900,345700,859400,15800,7800,37000,266600,24000,144700,37000,80400,472900,104400,741100,34500,91900,37700,1283700,883300,138200,1156400,298200
tourist,155100,263600,80400,312900,71900,901100,106200,539300,334500,263800,615100,487600,291200,25600,126400,2500,488700,594500,6500,25400,49400,225800,30200,117900,15800,254200,311300,157100,772000,70400,93500,167700,829900,544500,150200,972700,171300
neal,448000,877100,380900,1069700,307900,2961000,496800,1642400,1262900,864200,1359500,1086900,897400,16900,341800,0,1655700,1194600,93300,42600,168700,730600,58500,347300,75700,22500,824000,635200,3558900,233800,168400,403900,2234800,1316200,409400,2685900,691400
dorijanlendvaj,84700,90300,90600,163900,23800,576000,72200,460200,312900,208600,344600,238600,165500,1800,24400,2000,181700,655800,11300,3200,27300,151700,9400,61100,24100,34300,309900,71500,494200,23800,38700,27300,826700,473500,101300,759100,149000
gamegame,51900,51900,39700,102400,8400,288700,29100,188600,109400,119800,201800,156300,122300,3300,24700,0,159400,347000,5900,10000,10300,73600,9300,42700,2100,54900,150700,34100,282100,14800,23100,10700,352000,291200,61000,391400,80200
Maksim1744,138700,162700,145200,297500,32200,915600,69800,526200,384800,323000,436200,347200,275600,7800,56700,0,313300,643100,18900,16200,47300,255700,10500,99200,20300,144700,363100,95900,784400,46800,84100,79200,973200,721200,112400,957100,200300
qinyihao,25300,11300,23600,33200,4200,188600,23400,126600,95000,69400,78800,42200,60600,3400,9000,0,35500,178500,3800,0,4600,34900,0,21100,4100,26000,93100,19600,147100,16700,17600,18100,200400,142000,21700,231600,45600
kort0n,66200,64600,81200,141100,9800,493000,42500,359100,286800,154200,280800,225200,157200,1600,16800,0,177700,453700,13800,5200,24400,115300,9300,54000,23300,0,284400,58800,355400,34000,45200,22900,758800,516100,60600,610500,162000
kmjp,392600,321600,237900,624600,115100,2430200,280600,1565100,1075000,758700,1222900,1090900,711100,13300,89900,10200,927500,2315400,31500,19100,135100,663700,57200,307200,73800,80300,1000800,267200,1875000,92300,186900,133200,2592000,1643200,365400,2562500,573700
RioTian,13600,5900,0,17400,0,102600,5400,143800,56300,58800,18100,12400,24400,800,2000,0,14200,274000,5400,2000,0,56300,0,11400,2400,3000,124600,4900,46800,4900,17900,8000,267900,127800,2000,306000,35700
SSRS_,90600,108500,76900,211500,24300,794000,81100,534100,397100,264300,376300,336600,254300,4800,40800,0,256400,647900,18000,11500,38200,209700,14700,93900,36200,7900,358200,68900,563400,34700,67900,45600,977100,678600,142600,914100,222500
BigBag,212100,163300,147300,314100,108100,1301700,181900,815000,630000,503800,816800,637900,360400,25600,99200,1200,588200,1333800,28600,9000,72400,436500,31600,196800,34300,99400,560500,197700,1151200,67000,94400,115900,1420600,901400,255800,1439100,275300
galen_colin,58400,67200,87000,200100,13700,724500,76400,552300,367400,235100,352400,347000,188600,5900,30600,0,264300,759500,12700,9600,34400,213600,26100,95800,23200,81200,424600,74300,661200,14900,47900,13400,1014400,623800,152700,916200,237200
hank55663,222100,218000,189700,413400,66400,1473200,155700,982300,729100,483400,799300,645700,443700,7400,75500,0,589800,1344700,24200,16200,78700,435300,32500,206400,54900,11700,681700,158000,1187500,72500,88800,116500,1781500,1169200,235200,1613400,396000
liupo,7400,5900,9700,26000,2900,78300,6400,99000,46000,52700,33900,30600,27800,0,0,0,20400,116600,1900,0,3700,28700,0,8400,7700,8600,53200,6800,69900,3700,9600,1800,159700,107800,8100,163000,32900
dnthakur4399,0,0,900,3100,0,8300,1600,16200,4200,10900,1400,1200,5200,0,0,0,0,16800,1900,0,0,4300,0,0,0,3300,9700,0,4600,1200,1200,0,17700,21000,0,31400,3000
